Skewness and Kurtosis Summary
========================================

               skewness   kurtosis
kappa          0.000018  -1.200015
lambda        -0.000609  -1.199772
sigma          0.000373  -1.200060
rho           -0.000868  -1.199541
v0            -0.001757  -1.199175
r             -0.000036  -1.199865
q             -0.000134  -1.199868
tau           -0.000526  -1.199445
log_moneyness  0.002011  -1.198635
price          0.095936  -1.267615
d_kappa        4.761866  70.814384
d_lambda       1.716675   7.306623
d_sigma       -2.875916  13.571371
d_rho          2.660477  11.307175
d_v0           2.469886  12.225263
